book_id,title
22222722,Allgemeine Zustände des deutschen Volkes
12864338,De la dérivation de la Meuse
13688725,Contribution à l'étude de l'alimentation de l'Homme et des anthropomorphes
13660843,Le dernier amour de Ronsard
12250822,"Aide-mémoire. Trois cent trente cinq formules mnémotechniques, méthode simple et pratique pour retenir les principaux faits et les dates de l'histoire romaine"
13366413,"Le procédé au gélatino-bromure, suivi d'une note de Edw Milsom sur les clichés portatifs, et de la traduction des notices de R Kennett et Rév H-G Palmer"
13732372,Géographie historique et administrative de la Gaule romaine
13315470,"Projet de Code Pénal pour l'empire du Japon, présenté au Sénat par le Ministre de la Justice le 8e mois de la 10e année de Meiji (Août 1877)"
13576247,Kritisch-erklärendes Handwörterbuch der deutschen Sprache
12995500,"De l'existence universelle, de celle de l'Homme en société et de ses fins"
12608292,Leben und Kunst des schwedischen Malers Peter Hörberg
11790375,Essai sur la coqueluche
17476855,"Considération sur le projet de municipalité, par l'ex-bourg-mestre de Chestret, Baron de Hanneffe, colonel du régiment municipal. Liege en septembre 1790"
15099272,Trois piéces remarquables adressées au public de la part des Etats de Brabant
12766129,Dictionnaire des Pseudonymes
12124699,Les Solitudes
12055527,Die politischen Parteien Griechenlands
13685393,Notice sur un cartulaire de l'abbaye de Saint-Ghislain
12384903,Par les chemins
12521836,Reseña de los acontecimientos politicos y militares de la provincia de Guayaquil desde 1813 hasta 1824 inclusives
12444244,L'artiglieria da campo in Europa nel 1876
12573485,Lebenserinnerung und Briefwechsel
12692604,Traité pratique d'electricité
12661460,"Études sur les machines, d'après l'expérience et le raisonnement"
12056843,Die römisch-rechtlichen Mittheilungen in des Tacitus Geschichtbüchern
12100943,Programma van het provinciaal Utrechtsche genootschap van kunsten en wetenschappen
11754516,Reisen nach dem Nordpalarmeer in den Jahren 1870 und 1871
13648732,"Estudos sobre alguns portos commerciaes da Europa, Asia, Africa e Oceania e sobre diversos serviços concernentes à engenheria civil"
11606178,Dicht-en Prozastukjes
13132164,Causes & effets de l'accroissement successif des armées permanentes
11320872,Le créancier hypothécaire
13532624,Règlement contre les incendies
13317862,"Obras de Don Manuel Breton de los Herreros, de la Real Academia Española"
12054631,Poésie
13426669,Précis pratique de la méthode d'enseignement
13681452,Catalogue des anciennes porcelaines tendres de sèvres (...)
11609478,"Manuel complet et pratique du cubage des bois,"
12521959,La République du Chili
12756734,Bij kinderen
12944200,Portraits du XVIIe siècle
11837033,Histoire du fer dans le pays de Namur
12398469,Osservazioni presentate all'assemblea della banca romana
12922933,Attribution de quelques médailles inédites au monnayage primitif des Arabes à Alexandrie
12132733,Grande question au XIXe siècle
12830674,Aperçu sur les institutions subsidiaires pour les ouvriers attachés aux établissements métallurgiques en Russie
11493695,Au Coin du feu
12227120,Storia del reame di Napoli dal 1734 sino al 1825
12504828,Attila dans les Gaules en 451
11841367,"Société générale des agglomérés magnésiens, Brevetés s. g. d. g. en France et à l'étranger"
11449003,Lieder Guillems IX
13560173,Annales Ardennaises
11957020,Études morales et littéraires
12045646,Pour l'inventeur
12984328,Lettres du baron de Marchant sur la numismatique et l'histoire
12138337,"Extraits de l'article publié par Monsieur Édouard Laboulaye (aujourd'hui professeur de législation comparée au Collége de France) dans la Revue de Législation, t. 24, septembre et décembre, p. 289-370, sous ce titre : Quelques Réflexions sur l'Enseignement du Droit en France, etc"
11767356,Servitudes militaires
12217172,Patria e biografia Del Grande Ammiraglio d. Cristoforo Colombo
11811220,Recherches anatomiques sur les organes végétatifs de l'urtica dioica
13481292,Valentinelli Giuseppe degli studi sul Friuli
13350367,Variétés littéraires
11900402,Le gallerie e i Musei di Firenze
22111343,Drei Monate in der libyschen Wüste
11448868,Histoire des votes des représentants du peuple
12332549,"Curiosités historiques sur Louis XIII, Louis XIV, Louis XV, Mme de Maintenon, Mme de Pompadour, Mme du Barry, etc"
12582186,Traité de l'expropriation pour cause d'utilité publique
13210012,Visites et études de S.A.I. le prince Napoléon au palais de l'industrie
22099729,Les saisons
13514261,Obras poeticas de Diego Hurtado de Mendoza
12653326,Madame Surinet-Durand officier d'Académie
13134569,"Histoire de Soulavie (naturaliste, diplomate, historien)"
13355409,"Histoire économique de la propriété, des salaires, des denrées et de tous les prix en général"
12235763,"De la compensation en droit romain, du compte courant en droit français"
12805836,Les salons de Paris et la Societé parisienne sous Napoléon III
11697487,La culture intensive de l'oeuf et son incubation
13498850,Lettres d'Auguste Comte fondateur de la religion universelle et premier grand-prêtre  de l'humanité a Henry Edger et a M. John Metcalf
12352873,De deugd voor alle staten
13648179,De l'administration de la ville de Londres
12754923,"Le travail, loi de la vie et de l'éducation"
11957850,"Une dévotion chère à Marie, ou Le jardin aux roses de Notre-Dame"
12260702,Archéologie religieuse
13288613,Le commerce extérieur et la politique de la France
13278581,"Le livre du diable, recueil de Satires et de Pamphlets sur les hommes et les choses de la Révolution Belge"
12559570,Giunte e correzioni alla Lettera A della Bibliografia Siciliana
12527847,Réglementation des mines et carrières à l'étranger
11664391,Epernay et l'abbaye de Saint-Martin de cette ville
13028209,De l'Avenir de la Littérature française
13221334,"A discriptive, explanatory, and critical, catalogue of fifty of the earliest pictures contained in the national Gallery of Great Britain"
12454260,Charlemagne
12841004,L'incendie de l'opéra
13604492,Vondel et la Belgique
12055380,Satires et poésies diverses
12608659,"The origin, progress, and present condition of the fine arts in Great Britain and Ireland"
12040415,Manuel pour servir à la préparation de l'examen diplomatique
12807640,Noël le Mire et son oeuvre
12238472,Résultats scientifiques et pratiques destinés à la construction des machines
22120643,Les institutions ouvrières de la Suisse
12021710,Regulations respecting the navigation of channels at mouth of the Mississipi river
22091068,"Oeuvres choisies, mémoire et correspondance de Bertin du Rocheret"
13436304,Discussions du code Napoléon dans le conseil d'état (...)
12614108,Enea Vico e l'antico museo estense delle medaglie
22069439,Geschichte der familie Schenk von Nydeggen
11700409,Vade Mecum du membre visiteur de la Société de Saint Vincent-de- Paul à Gand
12664581,L'insuffisance financière
22174649,Jean-Paul Marat
12099512,Iconographie chrétienne de Belgique
12397599,En faveur du Congo et contre sa reprise immédiate
13254176,"The physiology of the foetus, liver and Spleen"
12458887,Code de la législation forestière
22288578,Note sur l'erreur probable d'un passage observé à la lunette méridienne de l'observatoire royal de Bruxelles
22049585,Art de parler et d'écrire ou traité de rhétorique générale
12716699,De l'efficacité des feuilles de Houx (Ilex aquifolium) dans le traitement des fièvres intermittentes
12997037,Droit romain. Mandatum pecuniae credendae. Droit français. Effets du cautionnement en droit civil
12060019,Analysis and review of the Blue Book of the royal commission on Capital punishment
11654251,Sulla convenienza ed utilità d'istituire nelle provincie venete una società contro il maltrattamento degli animali
11458675,L'ode Pitia I. di Pindaro
11490274,"Korte verhandeling van God, de mensch en deszelfs welstand"
12582726,Manuel d'hygiène à l'usage des enfants et des gens du monde
13475369,Principles of Hindu and Mohammadan law
12798559,La Vie
12663557,La Monnaie
12439258,Exposition Universelle de Vienne en 1873
11689390,Histoire de Cambrai et du Cambrèsis
12638220,Le peuple Siamois ou Thaï
12757785,Catalogue des indulgences du Saint Rosaire
11618572,Pasteur as the founder of stereo-chemistry
12512186,Chants intimes
13365636,Méthodes chimiques pour la recherche des falsifications
13725989,Handbuch der Verwaltungslehre
22264513,Un mot sur les associations d'ouvriers
12674208,Les Oeuvres et les Hommes
12829602,De la fièvre traumatique et de l'infection purulente
13675550,Bi-Metallism
12467212,La strega ovvero degli Inganni de' Demoni
12975355,Peinture - sculpture
12574255,Le pas des armes de Scandricourt
13367644,"The river Congo, from its mouth to Bolobo, with a general description of the natural History and Anthropology of its Western Basin"
11267077,"Eléments de droit civil scandinave (Danemark, Norvège, Suède)"
22170679,Transport
