book_id,title,year,country_code,country_name
12014661,"Livres payés en vente publique 1000fr et au-dessus, Depuis 1866 jusqu'à ce jour aperçu sur la vente Perkins à Londres",1877,fr,France
22121160,Memorial addresses on the life and character of Michael Crawford Keer,1877,xxu,United States
11590034,Exercices d'arithmétique pour les écoles primaires,1879,be,Belgium
11630744,Twee novellen,1880,be,Belgium
14989134,"Lettre et rapport du Comité de l'Assemblée du Commerce de Bruxelles, a Messieurs du Magistrat, sur le projet de l'abolition des douanes dans les Pays-Bas autrichiens",1788,be,Belgium
13123241,Notice sur les travaux scientifiques de M. Oechsner de Coninck,1884,fr,France
11586432,Société libre d'Émulation de Liège.,1879,be,Belgium
11404232,Epitre à Monsieur Bouniol de Saint-Geniez,1852,fr,France
12021269,The New American Practical Navigator,1874,xxu,United States
12030823,"Analyse alphabétique des lois, ordonnances et règlements généraux de police en vigueur en Belgique",1898,be,Belgium
13356738,Faculté de Droit de Bordeaux,1894,fr,France
11357452,Evangile d'amour,1887,fr,France
13011627,An account of the Wild Tribes,1865,fr,France
13496940,La chasse a l'idéal,1867,fr,France
12489264,Volledige Cursus der fransche taal,,be,Belgium
12704852,1815,1898,fr,France
11536087,Au bagne,1877,be,Belgium
13449812,Traité complet de l'anatomie des animaux domestiques,1840,fr,France
12567417,Lettres écrites en Russie et en Sibérie,1863,sw,Sweden
11736212,Frederik van Heilo en zijn schriften,1866,ne,Netherlands
11457009,Guide to Spa,1875,be,Belgium
12764605,Sprachlehre um nach Ollendorff's Methode mittelst Selbstunterricht in der fürzeft möglichen Zeit (...),1850,gw,Germany
13654349,A roll of the graduates of the University of Glasgow from 31st December 1727 to 31st December 1897,1898,stk,United Kingdom
12740989,Traité de la génération des animaux,1887,fr,France
12612067,Collégiale de Sainte Pharaïlde à Gand,1852,be,Belgium
12245718,Notice sur deux monuments anciens,1848,xx,Unknown
13601423,Rembrandt Harmens Van Rijn,1863,ne,Netherlands
13213333,Registers op het archief,1856,ne,Netherlands
12336744,Certamen literario que para conmemorar el segundo centanario del fallecimiento del dramatico insigne D. Pedro Calderon de la Barca celebraron la Universidad de Barcelona y el instituto provincial de 2.a enseñanza el dia 25 de Mayo 1881,1881,sp,Spain
13257742,Ueber die Contagiosität der Eingeweidewürmer nach Versuchen und über das physiologische Leben der mikroskopischen Zellen nach empirischen thatsachen,1844,gw,Germany
11707170,Muséum des sciences naturelles de Lyon,1884,fr,France
11707170,Muséum des sciences naturelles de Lyon,1884,sz,Switzerland
13741360,Cazin,1876,fr,France
13107841,Lettres sur L'Adriatique et le Monténégro,1853,be,Belgium
13000354,Bibliothèque archéologique,1846,fr,France
12129740,La guerre privée dans le comté de Hainaut aux treizième et quatorzième siècles,1890,be,Belgium
12378483,"Ceremonies des gages de bataille, selon l'ordonnance de Philippe le Bel",1830,fr,France
13657181,On the historical antiquity of the people of Egypt,1863,xxk,United Kingdom
12059872,The debate on the motion for the second reading of the bill on Capital Punishment abolition,1869,xxk,United Kingdom
22221437,Le protectionnisme,1886,fr,France
12012012,Oeuvres complètes d'Horace,1858,fr,France
13701205,Le Marxisme et son critique Bernstein,1900,fr,France
12863968,Exercices de lecture élémentaire,1890,be,Belgium
12588188,Nana,1882,fr,France
13490755,Handlerifon zu den Quellen des römischen Rechts,1895,gw,Germany
11896972,Gedachten over opvoeding en onderwijs,1886,be,Belgium
11903636,Hulde aan Broeder Marès.,1886,be,Belgium
13684419,Contes et nouvelles de La Fontaine,1858,fr,France
12021738,Table of land grant railroads,1876,xxu,United States
11792123,Réclamation contre les décrèts sur l'exercice de la police extérieure des cultes présentée à l'Administration centrale du département des deux Nèthes par les curés d'Anvers,1796,be,Belgium
11299321,Poésies champêtres d'Horace,1865,fr,France
12463409,"Pensées de Blaise Pascal dans leur texte authentique et selon l'ordre voulu par l'auteur, précédées de documents sur sa vie et suivies de ses principaux opuscules",1896,be,Belgium
12463409,"Pensées de Blaise Pascal dans leur texte authentique et selon l'ordre voulu par l'auteur, précédées de documents sur sa vie et suivies de ses principaux opuscules",1896,fr,France
13410515,Histoire des corps de troupe,1887,fr,France
11428290,Rapport sur une communication de documents,1864,fr,France
11306007,Oeuvres de Vergniaud - Guadet - Gensonné,1866,fr,France
11664535,Cartulaire de Saint-Vallier,1870,fr,France
13010298,Das Theseion und der Tempel des Ares in Athen,1852,gw,Germany
13081040,"Das ehemalige Spitalzum h. Jacob, nachher klarissen Kloster",1836,gw,Germany
13683374,Températures critiques de dissolution,1895,be,Belgium
13425348,De Tulpenhandel,1846,ne,Netherlands
13703077,Handbuch der deutschen Mythologie mit Einschluss der nordischen,1864,gw,Germany
11629007,"Analyse et Extraits de Quelques Pièces des Meilleurs Auteurs Dramatiques Français, suivis d'Esther et d'Athalie",1839,be,Belgium
11938154,Oeuvres poétiques de Jules Breton (1867-1886),1887,fr,France
12773432,Der Attische Process,1883,gw,Germany
13053049,Systematische beschrijving der dieren,1851,ne,Netherlands
11333028,Introduction à la chimie inorganique,1863,be,Belgium
13492907,Dictionnaire grec-français,1895,fr,France
11685345,Note sur quelques théorèmes généraux de géométrie supérieure,1869,be,Belgium
13585152,Les grands Guignols,1872,fr,France
13444966,Richard von St Victor und Joannes Ruysbroek,1838,gw,Germany
13578583,Geologische Beschrijving van Java en Madoera,1896,ne,Netherlands
13100807,Breviarium romanum,1892,be,Belgium
11651270,L'Australasie,1881,be,Belgium
13303922,Beknopte natuurgeschiedenis (dier- en plantenkunde),1894,be,Belgium
12976669,Katalog des Königl rheinischen Museums vaterländischer Alterthümer,1851,gw,Germany
13247643,A short history of the Norman Conquest of England,1887,enk,United Kingdom
11690823,Les catholiques aiment-ils la constitution?,1874,be,Belgium
12040450,Titian,1877,enk,United Kingdom
12764226,La question scolaire,1899,be,Belgium
12507840,Beitrag zu einer wissenschaftlichen Grundlage für etymologische Untersuchungen auf dem Gebiete der französischen Sprache,1883,gw,Germany
12667259,Moedertaal,1898,be,Belgium
12636650,Oras completas,1881,cl,Chile
13122346,Triton und Euphemos oder die Argonauten in Lybien,1849,ru,Russia
12091637,La grande Catherine,1890,be,Belgium
12088160,Pierre Gringore et les Comédiens Italiens,1878,fr,France
11994276,Andrée,1875,fr,France
22292621,Rapport du major Liagre sur deux mémoires envoyés au concours de 1860,1860,be,Belgium
11828894,Florule mycologique des environs de Bruxelles,1884,be,Belgium
12226629,"Lectures choisies. La Belgique pittoresque, monumentale et littéraire",1892,be,Belgium
12303599,Réponse à l'examen critique de M. Stanislas Julien,1842,fr,France
13298512,Guide médical des Antilles et des régions intertropicales,1840,fr,France
13060391,Bibliographie des éditions originales d'auteurs français,1882,fr,France
12859097,Les agrandissements d'Anvers en 1549,1881,be,Belgium
13610804,Recherches historiques sur la kermesse de Mons,1848,be,Belgium
12311723,Ungarn's Fall,1851,gw,Germany
15551544,"Représentation faite aux Etats de Brabant, par les députés du corps des armateurs de la pêche nationale à Ostende. Du 2 juillet 1787",1787,be,Belgium
11269355,Histoire de la littérature grecque jusqu'à Alexandre-le-Grand,1865,fr,France
11799468,Le faux miracle du Saint Sacrement à Bruxelles,1874,be,Belgium
13263380,Dinamo-magnetometro,1837,it,Italy
12894350,De l'architecture contemporaine,1846,fr,France
12526269,Adolphe,1882,fr,France
13383840,Geschichte Spaniens von den frühesten zeiten bis auf die Gegenwaart,1895,gw,Germany
11565633,Leçons de Choses en Français et en Néerlandais / Aanschouwelijke Lessen in het Fransch en in het Nederlandsch,1878,be,Belgium
13450569,Oeuvres posthumes,1872,be,Belgium
12024234,Geschiedenis van de Gelukzalige Margaretha-Maria en den Oorsprong der Devotie tot Jesus' Hart,1888,be,Belgium
12680988,Syntaxe latine abrégée,1898,be,Belgium
15097212,"Discours Adressé à Messeigneurs les Etats du Brabant, en leur Assemblée. Le 17 juillet 1787",1787,be,Belgium
13392001,Bibliotheca Lindesiana,1886,xxk,United Kingdom
13025659,Vita di S. Luigi Gonzaga della Compagnia di Gesu,1891,it,Italy
12743788,Traité de chimie pharmaceutique,1899,be,Belgium
13277861,Pequeneces,1891,sp,Spain
12118295,Direction pour rassurer dans leurs doutes les âmes vouées à la piété,1890,be,Belgium
11716717,Discours du genre délibératif,1883,be,Belgium
