book_id,title,year,language,publisher_name_cleaned,period
13741360,Cazin,1876,fre,,1861-1890
13107841,Lettres sur L'Adriatique et le Monténégro,1853,fre,,1831-1860
13000354,Bibliothèque archéologique,1846,fre,,1831-1860
12129740,La guerre privée dans le comté de Hainaut aux treizième et quatorzième siècles,1890,fre,,1891-1901
12378483,"Ceremonies des gages de bataille, selon l'ordonnance de Philippe le Bel",1830,fre,,1831-1860
13657181,On the historical antiquity of the people of Egypt,1863,eng,,1861-1890
12059872,The debate on the motion for the second reading of the bill on Capital Punishment abolition,1869,eng,,1861-1890
22221437,Le protectionnisme,1886,fre,,1861-1890
12012012,Oeuvres complètes d'Horace,1858,fre,Garnier Frères,1831-1860
13701205,Le Marxisme et son critique Bernstein,1900,fre,"Stock, P.-V.",1891-1901
12863968,Exercices de lecture élémentaire,1890,fre,I. Vanderpoorten,1891-1901
12588188,Nana,1882,fre,C. Marpon & E. Flammarion,1861-1890
13490755,Handlerifon zu den Quellen des römischen Rechts,1895,ger,,1891-1901
11896972,Gedachten over opvoeding en onderwijs,1886,dut,"Hoste, Adolphe Joseph",1861-1890
11903636,Hulde aan Broeder Marès.,1886,dut,"S. Leliaert, A. Siffer & Co",1861-1890
13684419,Contes et nouvelles de La Fontaine,1858,fre,,1831-1860
12021738,Table of land grant railroads,1876,eng,,1861-1890
11792123,Réclamation contre les décrèts sur l'exercice de la police extérieure des cultes présentée à l'Administration centrale du département des deux Nèthes par les curés d'Anvers,1796,fre,,1751-1800
11299321,Poésies champêtres d'Horace,1865,fre,,1861-1890
12463409,"Pensées de Blaise Pascal dans leur texte authentique et selon l'ordre voulu par l'auteur, précédées de documents sur sa vie et suivies de ses principaux opuscules",1896,fre,"Société Saint-Augustin, Desclée, De Brouwer & Cie",1891-1901
13410515,Histoire des corps de troupe,1887,fre,,1861-1890
11428290,Rapport sur une communication de documents,1864,fre,,1861-1890
11306007,Oeuvres de Vergniaud - Guadet - Gensonné,1866,fre,,1861-1890
11664535,Cartulaire de Saint-Vallier,1870,fre,,1861-1890
13010298,Das Theseion und der Tempel des Ares in Athen,1852,ger,,1831-1860
13081040,"Das ehemalige Spitalzum h. Jacob, nachher klarissen Kloster",1836,ger,,1831-1860
13683374,Températures critiques de dissolution,1895,fre,"Hayez, Frédéric-Maximilien",1891-1901
13425348,De Tulpenhandel,1846,dut,J.C. & W. Altorffer,1831-1860
13703077,Handbuch der deutschen Mythologie mit Einschluss der nordischen,1864,ger,,1861-1890
11629007,"Analyse et Extraits de Quelques Pièces des Meilleurs Auteurs Dramatiques Français, suivis d'Esther et d'Athalie",1839,fre,,1831-1860
11938154,Oeuvres poétiques de Jules Breton (1867-1886),1887,fre,Lemerre,1861-1890
12773432,Der Attische Process,1883,ger,Calvary & Co.,1861-1890
13053049,Systematische beschrijving der dieren,1851,dut,,1831-1860
11333028,Introduction à la chimie inorganique,1863,fre,Imprimerie L. Degrâce,1861-1890
13492907,Dictionnaire grec-français,1895,fre,,1891-1901
11685345,Note sur quelques théorèmes généraux de géométrie supérieure,1869,fre,Hayez,1861-1890
13585152,Les grands Guignols,1872,fre,Michel Lévy Frères,1861-1890
13585152,Les grands Guignols,1872,fre,Librairie Nouvelle,1861-1890
13444966,Richard von St Victor und Joannes Ruysbroek,1838,ger,,1831-1860
13578583,Geologische Beschrijving van Java en Madoera,1896,dut,,1891-1901
13100807,Breviarium romanum,1892,lat,"Societatis S. Joannis Evangelistae Desclée, Lefèbvre & Soc.",1891-1901
11651270,L'Australasie,1881,fre,,1861-1890
13303922,Beknopte natuurgeschiedenis (dier- en plantenkunde),1894,multiple languages,,1891-1901
12976669,Katalog des Königl rheinischen Museums vaterländischer Alterthümer,1851,ger,,1831-1860
13247643,A short history of the Norman Conquest of England,1887,eng,Clarendon Press,1861-1890
11690823,Les catholiques aiment-ils la constitution?,1874,fre,"Lagrange, Thérèse",1861-1890
12040450,Titian,1877,eng,John Murray,1861-1890
12764226,La question scolaire,1899,fre,Bellemans Frères,1891-1901
12507840,Beitrag zu einer wissenschaftlichen Grundlage für etymologische Untersuchungen auf dem Gebiete der französischen Sprache,1883,ger,,1861-1890
12667259,Moedertaal,1898,dut,,1891-1901
12636650,Oras completas,1881,fre,,1861-1890
13122346,Triton und Euphemos oder die Argonauten in Lybien,1849,ger,,1831-1860
12091637,La grande Catherine,1890,fre,,1891-1901
12088160,Pierre Gringore et les Comédiens Italiens,1878,fre,,1861-1890
11994276,Andrée,1875,fre,,1861-1890
22292621,Rapport du major Liagre sur deux mémoires envoyés au concours de 1860,1860,fre,M. Hayez,1861-1890
11828894,Florule mycologique des environs de Bruxelles,1884,fre,C. Annoot-Braeckman,1861-1890
12226629,"Lectures choisies. La Belgique pittoresque, monumentale et littéraire",1892,fre,,1891-1901
12303599,Réponse à l'examen critique de M. Stanislas Julien,1842,fre,,1831-1860
13298512,Guide médical des Antilles et des régions intertropicales,1840,fre,,1831-1860
13060391,Bibliographie des éditions originales d'auteurs français,1882,fre,A. Claudin,1861-1890
12859097,Les agrandissements d'Anvers en 1549,1881,fre,,1861-1890
13610804,Recherches historiques sur la kermesse de Mons,1848,fre,"Biénez, F.",1831-1860
12311723,Ungarn's Fall,1851,ger,Decker,1831-1860
15551544,"Représentation faite aux Etats de Brabant, par les députés du corps des armateurs de la pêche nationale à Ostende. Du 2 juillet 1787",1787,fre,"Collaer, Antoine",1751-1800
15551544,"Représentation faite aux Etats de Brabant, par les députés du corps des armateurs de la pêche nationale à Ostende. Du 2 juillet 1787",1787,fre,Unknown,1751-1800
15551544,"Représentation faite aux Etats de Brabant, par les députés du corps des armateurs de la pêche nationale à Ostende. Du 2 juillet 1787",1787,fre,Delahaye & Compagnie,1751-1800
11269355,Histoire de la littérature grecque jusqu'à Alexandre-le-Grand,1865,fre,"Durand, Auguste",1861-1890
11799468,Le faux miracle du Saint Sacrement à Bruxelles,1874,fre,"Campan, Adrien",1861-1890
13263380,Dinamo-magnetometro,1837,ita,,1831-1860
12894350,De l'architecture contemporaine,1846,fre,,1831-1860
12526269,Adolphe,1882,fre,,1861-1890
13383840,Geschichte Spaniens von den frühesten zeiten bis auf die Gegenwaart,1895,ger,Siegfried Cronbach,1891-1901
11565633,Leçons de Choses en Français et en Néerlandais / Aanschouwelijke Lessen in het Fransch en in het Nederlandsch,1878,multiple languages,,1861-1890
13450569,Oeuvres posthumes,1872,fre,"Muquardt, C.",1861-1890
12024234,Geschiedenis van de Gelukzalige Margaretha-Maria en den Oorsprong der Devotie tot Jesus' Hart,1888,dut,,1861-1890
12680988,Syntaxe latine abrégée,1898,fre,,1891-1901
