book_id,year
13201798,1855
11298463,1861
13482544,1897
11815894,1874
11561385,1878
11663545,1858
11294429,1884
12421570,1894
13330434,1853
22284412,1889
12104036,1854
12557948,1884
12351955,1868
11320203,1867
11559528,1878
13298538,1885
12349849,1894
11451427,1868
13056281,1853
12751346,1899
11466698,1873
11633611,1848
11266800,1865
15459004,1845
12239177,1892
12454692,1846
12283343,1880
12627702,1898
11967791,1862
22181165,1881
12400940,1836
13703599,1900
12227668,1860
12072621,1863
12990221,1881
12829332,1883
11396037,1884
11273289,1869
11560681,1878
12338360,1881
13054437,1866
11703964,1882
13704834,1900
11697764,1869
12296218,1844
13003804,1816
11590012,1876
11720268,1883
12058098,1827
12632936,1865
12550887,1866
13696584,1858
11330298,1891
11611745,1880
13717323,1858
11644831,1854
11346573,1901
15101604,1789
12023839,1873
12803306,1900
11952551,1851
11268495,1864
12836886,1845
12564913,1866
12683251,1898
12365825,1894
11937871,1854
11604067,1836
11764270,1884
12265369,1892
12104394,1854
12293803,1830
12788919,1872
12258111,1893
12812277,1884
12894945,1901
11666962,1881
22069960,1860
22358131,1888
13671584,1839
13300919,1842
11996353,1868
13117265,1834
12922900,1858
12492717,1896
13611649,1845
13351223,1883
11425201,1865
11740099,1883
12280355,1893
13309704,1836
12499091,1861
12239451,1874
12053858,1898
12112001,1874
13227343,1877
11812790,1889
11506792,1845
12606472,1877
11788277,1884
12365339,1895
11317855,1852
13717014,1857
13584893,1836
12203112,1891
13231200,1888
11279101,1892
13506067,1846
13062997,1851
22175410,1833
11267129,1865
12621355,1897
12742290,1899
13278659,1893
13600018,1862
12818721,1900
22431079,1900
11855462,1886
13617662,1829
22097645,1861
12715640,1898
12856440,1899
12656353,1885
11915638,1843
11317498,1833
13477972,1818
12643417,1863
12649927,1838
13624618,1842
13387842,1866
11819890,1885
11709058,1883
11614986,1880
11643811,1840
12244736,1878
12094560,1860
12132265,1890
13026140,1891
13303134,1894
11460952,1838
11826744,1885
12318712,1894
11441066,1875
11434602,1867
11390557,1848
11287982,1861
12387377,1882
22335868,1900
22222722,1883
12274354,1893
12864338,1845
13688725,1894
11995035,1896
22158188,1849
13660843,1882
12250822,1890
13366413,1877
13022899,1891
13732372,1876
13315470,1879
13277408,1866
13576247,1838
12953482,1890
11587924,1897
12995500,1847
11455723,1850
12931360,1871
11274099,1889
12608292,1819
13602698,1889
11790375,1828
22233517,1897
12380724,1882
17476855,1790
15099272,1787
12766129,1887
13043449,1834
12552057,1897
12124699,1869
13113109,1855
12055527,1844
12349545,1894
13649026,1894
11777063,1884
13685393,1862
12384903,1895
13051038,1887
12521836,1863
12444244,1876
12795055,1899
12573485,1861
12692604,1882
12661460,1828
12056843,1860
11374094,1890
11989289,1891
12100943,1821
11754516,1872
13648732,1885
11286952,1877
11731905,1880
17026797,1890
11606178,1880
13132164,1876
12120418,1889
11504614,1876
11320872,1865
13532624,1848
13317862,1851
13707247,1899
12211072,1892
12054631,1857
13426669,1823
13498116,1873
13681452,1898
11609478,1880
12393048,1851
12521959,1876
12756734,1899
12944200,1890
11837033,1873
12398469,1842
13656219,1883
12922933,1859
12132733,1855
12830674,1876
11493695,1876
13696100,1857
12227120,1848
12504828,1833
11841367,1875
11449003,1848
11436804,1858
13560173,1861
12262514,1857
11957020,1887
12045646,1890
12984328,1851
12138337,1839
11767356,1855
12170331,1838
13464625,1895
12217172,1853
11811220,1885
13481292,1856
13350367,1889
12126392,1890
11900402,1875
12264611,1890
22111343,1875
12034997,1888
11518224,1877
11448868,1851
12332549,1864
12582186,1836
13702261,1864
13210012,1855
22099729,1834
12111076,1869
12364974,1894
13602008,1882
13514261,1877
12653326,1898
22239173,1882
12451844,1895
13134569,1893
13355409,1894
12235763,1879
12805836,1868
11697487,1878
13498850,1889
12360425,1894
12352873,1894
12877293,1900
13648179,1863
22250149,1891
12754923,1900
11957850,1887
12260702,1869
13288613,1848
11842610,1885
12738269,1899
13278581,1848
12559570,1881
11939495,1839
12101977,1872
12527847,1896
11664391,1869
13698132,1898
13028209,1837
13221334,1834
11661612,1857
12454260,1877
11654399,1856
13434965,1896
12841004,1896
11717077,1891
13604492,1887
12055380,1852
12608659,1841
12457043,1867
12040415,1869
12586168,1884
12807640,1875
22418918,1886
12238472,1868
22120643,1867
12021710,1874
13649323,1896
12555624,1897
22091068,1865
13436304,1808
12614108,1873
11278860,1892
22069439,1860
13664296,1863
11700409,1880
12840898,1897
13116535,1892
12929945,1889
13482931,1860
12664581,1863
22174649,1880
12772400,1899
12099512,1850
12397599,1895
12167526,1861
11688120,1872
11716408,1873
13254176,1831
11424504,1833
13372664,1889
12721536,1899
11959386,1873
17160611,1886
12458887,1883
12438570,1895
22288578,1853
13711195,1900
22049585,1833
12716699,1831
12997037,1888
12060019,1866
12426647,1895
11654251,1856
13592894,1833
11458675,1885
11490274,1869
13435384,1896
