book_id,city_name
22555002,[Paris]
13330404,Genève
13401752,Tours
12214467,Orléans
11739247,Avignon
12202212,Paris
15480075,Paris
13540814,Bruxelles
12861692,Grenoble
11951722,Paris
13633872,Paris
13156156,Bruxelles
12151233,Paris
12299832,Paris
12408801,[Italië?]
11703282,Melano
12424452,Bruxelles
11734618,Gent
15514048,[Lieu de publication non identifié]
11556537,Madrid
13532899,Rouen
13732370,Ludwigsburg
13396259,Milano
11919482,Paris
11795091,Paris
