book_id,country_code
11982055,fr
13367644,enk
13011320,gw
11267077,fr
22170679,fr
18161352,be
11673612,fr
12955385,po
13548586,fr
12944918,be
12634261,pau
12128234,be
11763078,be
12125718,fr
22426311,fr
11700369,be
11687876,be
12962372,xx
13706485,gw
13140912,fr
12166184,be
13042984,be
13227043,sp
12442192,gw
11318977,fr
13224039,it
13011162,fr
11383692,fr
12105079,be
22178188,sp
13510451,sp
12546088,gw
12459178,sz
13690201,fr
11853528,be
12171344,gw
13529221,be
11569291,gw
15138176,be
11540667,fr
11974732,fr
12518106,fr
15568683,be
11588617,fr
12728858,fr
13040461,be
13333107,fr
11658726,fr
15430911,be
11937571,fr
11556419,be
11556674,ne
11520346,gw
11918873,fr
13277969,it
11621481,be
13635129,fr
11910695,fr
13136111,enk
17274664,fr
17688383,be
13514958,gw
12755406,be
13077036,fr
13597360,fr
13253450,gw
15509939,be
13194505,be
11553929,be
13222602,fr
13229036,it
11340561,be
12406023,it
13105122,ru
12453864,fr
12170689,gw
11684230,fr
15771476,fr
12174443,fr
12152755,be
13330436,fr
13556450,fr
13625138,au
13397456,be
11780297,enk
12667165,fr
13083571,fr
15566065,xx
13292706,fr
12170151,enk
22563242,ru
15509832,be
18499098,be
12982019,gw
12980525,gw
11788213,be
18336655,be
12710920,fr
11338853,au
17684784,be
12290034,be
13075011,fr
13005794,gw
15508146,be
18430045,be
15200404,fr
13259256,fr
13027381,sz
12293638,fr
13596609,fr
11784903,be
12155943,be
13511302,be
12356326,fr
15552831,be
12291189,fr
11286510,ne
12148962,fr
13070717,fr
12190758,fr
11931676,au
12816807,fr
13221558,be
17613932,be
18425911,be
11286194,ne
12392368,fr
13043330,xxu
13210643,it
12509346,fr
12207829,fr
15508881,be
12299252,be
12271427,it
18410307,be
17694456,be
11339500,pl
15505473,be
13408564,fr
13143113,it
12679390,fr
12298222,be
12239340,enk
12309375,be
13027886,au
18286965,be
12137464,be
11914077,sz
12755658,be
13078278,fr
13028683,gw
14988554,fr
13550704,ne
11312867,fr
13332971,fr
12428009,be
13114454,sz
13462203,enk
11913398,fr
13661458,enk
11288125,fr
22730184,be
11938983,enk
12802062,fr
13239859,fr
15492303,be
11344772,be
13327253,be
13189383,be
11568978,be
15803771,fr
18395999,be
15509481,be
11552832,be
13471006,be
12161480,fr
13241731,fr
15589584,be
13523918,be
12138317,be
12358710,fr
12359151,be
11643312,be
11688025,be
12160975,fr
12711716,be
12360294,fr
12000148,fr
11814852,fr
18256479,be
12158135,fr
13073096,fr
12240864,fr
13294545,be
12141633,be
11592049,gw
18249428,be
13158895,fr
11913150,fr
22555002,fr
13330404,sz
13401752,fr
12214467,fr
11739247,fr
12202212,fr
15480075,fr
13540814,be
12861692,fr
11951722,fr
13633872,fr
13156156,be
12151233,fr
12299832,fr
12408801,xx
11703282,it
12424452,be
11734618,be
15514048,be
11556537,sp
13532899,fr
13732370,gw
13396259,it
11919482,fr
11795091,fr
