city_name_raw,city_name_standardized,longitude,latitude,wikidata_id
Bilbao,Bilbao City,-2.93341,43.26035,Q31913753
Ypres,Ypres,2.885,50.850833333333334,Q102728
Nancy,Nancy,6.1836111111111,48.692777777778,Q40898
Heidelberg,Heidelberg,8.71,49.412222222222,Q2966
Middelburg,Middelburg,3.6136111111111,51.499722222222,Q52101
Cassellis,Kassel,9.4979166666667,51.315777777778,Q2865
Tübingen,Tübingen,9.0555555555556,48.52,Q3806
Norrkoeping,Norrköping,16.149318388303,58.579331104671,Q25724
Hannoverae,Hanover,9.7386111111111,52.374444444444,Q1715
London,London,-0.1275,51.507222222222,Q84
[Plaats van productie niet geïdentificeerd],Unknown,,,
s' Gravenhage,The Hague,4.31,52.08,Q36600
Utrecth?,Utrecht,5.121666666666667,52.090833333333336,Q803
Deventer,Deventer,6.166666666666667,52.25,Q10001
Leipzig,Leipzig,12.3747329,51.3406321,Q2079
Liége,Liège,5.570555555555556,50.639722222222225,Q3992
Maldeghem,Maldegem,3.4464,51.2089,Q12896
Bâle,Basel,7.5905555555556,47.560555555556,Q78
Milan,Milan,9.19,45.466944444444,Q490
Liège,Liège,5.570555555555556,50.639722222222225,Q3992
"Herdruckt, tot Brussel",Brussels,4.351666666666667,50.846666666666664,Q239
[Charleroi],沙勒罗瓦,4.4441666666667,50.416666666667,Q81046
Doornik,Tournai,3.388055555555556,50.605555555555554,Q173219
Bruxelles,Brussels,4.351666666666667,50.846666666666664,Q239
Buenos Aires,Buenos Aires,-58.381944444444,-34.599722222222,Q1486
Londres,London,-0.1275,51.507222222222,Q84
Chalons,Châlons-en-Champagne,4.3644444444444,48.956666666667,Q47135
La Haye,The Hague,4.31,52.08,Q36600
Lundae,Lund,13.199164196669,55.708313018551,Q2167
Gand,Ghent,3.725277777777778,51.05361111111111,Q1296
Soest,Soest,8.1091666666667,51.571111111111,Q6149
[Brussel?,Brussels,4.351666666666667,50.846666666666664,Q239
Frankfurt a. M.,Frankfurt,8.682222222222222,50.11055555555556,Q1794
Rennes,Rennes,-1.6808333333333,48.114166666667,Q647
Lisbonne,Lisbon,-9.139016,38.708042,Q597
Darmstadt,Darmstadt,8.65,49.866666666667,Q2973
[Brussel],Brussels,4.351666666666667,50.846666666666664,Q239
Dresden,Dresden,13.7381437,51.0493286,Q1731
Wolfenbüttel,Wolfenbüttel,10.536944444444,52.162222222222,Q4122
Haarlem,Haarlem,4.6405555555556,52.380277777778,Q9920
Troyes,Troyes,4.0780555555556,48.298888888889,Q5489
[Paris],Paris,2.352222222222222,48.85666666666667,Q90
Corbeil,Corbeil,2.48263,48.61191,Q18281399
Angers,Angers,-0.55555555555556,47.472777777778,Q38380
Köln,Cologne,6.9577777777778,50.942222222222,Q365
Romans,Romans-sur-Isère,5.0508333333333,45.045555555556,Q239078
A Paris,Paris,2.352222222222222,48.85666666666667,Q90
Bordeaux,Bordeaux,-0.57944444444444,44.837777777778,Q1479
Bamberg,Bamberg,10.891666666667,49.891666666667,Q3936
Andenarde,Oudenaarde,3.6,50.85,Q12992
